pointid,grid_code,Slope,Soil_depth,Curvature,Row,Col
1,5.711446285247803,3.714774325232043,2.883208180896454,-0.0027209618202488433,3,63
2,3.1166839599609375,2.3780450382791845,2.890836858013746,0.0006967040657833032,3,64
3,3.5074925422668457,1.5095413245417553,2.889687869353003,0.0011278914880160922,3,65
4,4.088690280914307,0.3580964419393176,2.8879791310048955,-0.0005251004556318587,3,66
5,3.8081884384155273,1.4383608747194692,2.8888038146248074,-0.0007390748875672011,3,67
6,3.1641483306884766,1.2269974206812448,2.890697311375764,0.0003716312245776128,3,68
7,3.1914122104644775,1.635106476503612,2.890617154771921,0.0009773158682644,3,69
8,4.718818664550781,3.8249994310140063,2.886126535129598,-0.0013376799217919189,3,70
9,6.143869400024414,4.322535859349453,2.881936844293276,-0.0022825659785913567,3,71
10,6.327460765838623,4.574061524751249,2.881397080308856,-0.0016395254497728238,3,72
11,5.789073944091797,4.672461673823287,2.882979953309318,-0.0004396354177237895,3,73
12,6.064202308654785,4.822953444223317,2.8821710678716785,-0.0014111793370401517,3,74
13,5.503183841705322,4.280153265094332,2.883820478570873,-0.0012398097193150126,3,75
14,5.054076671600342,2.4863102221500513,2.8851408667846234,-0.0008820532884681265,4,59
15,5.78264045715332,1.7324277281598977,2.8829988679490572,2.4567337981745534e-05,4,60
16,6.198665142059326,1.3942924096164402,2.8817757432092526,-0.0008178724311010558,4,61
17,7.126013278961182,0.8760296991273724,2.8790493125674925,-0.0028066731034503338,4,62
18,5.875370502471924,3.874854002812876,2.882726238904033,-0.001679362761115007,4,63
19,3.3971314430236816,1.2977064872853712,2.890012334212166,0.0010007057769933852,4,64
20,4.545417308807373,1.84835856926438,2.8866363401864144,-0.00011352189740830115,4,65
21,4.257136344909668,0.861675071801282,2.887483894650731,-0.00039213356358395194,4,66
22,3.9168288707733154,0.995336306804293,2.8884844085766064,0.0003366304514516678,4,67
23,3.4692463874816895,0.9902696248160621,2.889800314166538,0.0008931201730831898,4,68
24,3.252051830291748,1.7702820282080547,2.8904388725162904,0.001752150629713902,4,69
25,4.901016712188721,3.724741508548679,2.8855908675413624,-0.0005923722260093608,4,70
26,7.1098551750183105,2.9300888962484573,2.8790968178656104,-0.0022872525475265736,4,71
27,7.573882579803467,2.4328416909503847,2.8777325637255746,-0.001914778420727483,4,72
28,7.797752857208252,2.588134200588955,2.8770743785631665,-0.002048762131038699,4,73
29,7.466212272644043,1.8235746684824368,2.8780491175773224,-0.001837839036371248,4,74
30,6.621540546417236,1.8146368633722274,2.880532477153918,-0.0006160311886929909,4,75
31,7.465511798858643,4.748559996201,2.878051176990736,-0.004013062737380257,5,56
32,8.206022262573242,1.4385267088652545,2.8758740545720074,-0.004056799533228074,5,57
